MDC,DC,DRG,RW0D,RW,WTLOS,OT,MDF,DRGNAME
01,0152,01520,0.779,0.856,4.32,13,0.87,Nervous system neoplasms wo sig CCC
01,0152,01521,1.805,2.1489,8.4,25,0.85,Nervous system neoplasms w min CCC
01,0152,01522,2.7747,4.6245,16.22,49,1.0,Nervous system neoplasms w mod CCC
01,0153,01530,0.73,0.8022,4.5,14,0.61,Degenerative  nervous system disorders wo sig CCC
01,0153,01531,1.5959,2.0999,11.45,34,0.83,Degenerative  nervous system disorders w min CCC
01,0153,01532,2.5557,4.2595,17.8,53,0.54,Degenerative  nervous system disorders w mod CCC
01,0153,01533,2.5557,5.7069,24.95,75,1.0,Degenerative  nervous system disorders w maj CCC
01,0154,01540,2.1546,2.565,6.62,20,1.0,Multiple sclerosis and cerebellar ataxia wo sig CCC
01,0154,01541,3.6822,5.415,13.7,41,1.0,Multiple sclerosis and cerebellar ataxia w min CCC
01,0155,01550,1.0532,1.1574,3.43,10,1.0,Specific cerebrovascular disorders exc TIA wo sig CCC
01,0155,01551,1.9928,2.1899,5.99,18,1.0,Specific cerebrovascular disorders exc TIA w min CCC
01,0155,01552,2.8481,3.7476,9.88,30,1.0,Specific cerebrovascular disorders exc TIA w mod CCC
01,0155,01553,3.4579,5.0851,13.0,39,1.0,Specific cerebrovascular disorders exc TIA w maj CCC
01,0155,01554,4.2943,8.2584,19.58,59,1.0,Specific cerebrovascular disorders exc TIA w ext CCC
01,0156,01560,0.7337,0.7337,2.25,7,1.0,TIA and precerebral occlusions wo sig CCC
01,0156,01561,1.8086,1.9875,5.52,17,1.0,TIA and precerebral occlusions w min CCC
01,0156,01562,3.4621,5.0912,13.07,39,1.0,TIA and precerebral occlusions w mod CCC
01,0157,01570,0.6054,0.6054,2.78,8,1.0,Nonspecific cerebrovascular disorders wo sig CCC
01,0157,01571,1.2565,1.3808,5.7,17,1.0,Nonspecific cerebrovascular disorders w min CCC
01,0157,01572,2.3229,3.0565,9.35,28,1.0,Nonspecific cerebrovascular disorders w mod CCC
01,0157,01573,3.8402,5.6473,13.64,41,1.0,Nonspecific cerebrovascular disorders w maj CCC
01,0158,01580,0.6628,0.7283,3.11,9,0.83,Cranial and peripheral nerve disorders wo sig CCC
01,0158,01581,1.3055,1.4346,5.46,16,1.0,Cranial and peripheral nerve disorders w min CCC
01,0158,01582,3.7997,4.5235,8.87,27,1.0,Cranial and peripheral nerve disorders w mod CCC
01,0159,01590,1.1813,1.4063,7.15,21,0.97,"Nerv syst infection exc viral meningitis, not transfer wo sig CCC"
01,0159,01591,1.9605,2.5797,10.24,31,1.0,"Nerv syst infection exc viral meningitis, not transfer w min CCC"
01,0159,01592,3.213,4.725,13.57,41,1.0,"Nerv syst infection exc viral meningitis, not transfer w mod CCC"
01,0159,01593,3.7659,7.242,18.92,57,1.0,"Nerv syst infection exc viral meningitis, not transfer w maj CCC"
01,0160,01600,1.383,1.6463,6.11,18,1.0,Viral meningitis wo sig CCC
01,0160,01601,3.2666,4.2981,11.22,34,1.0,Viral meningitis w min CCC
01,0161,01610,0.478,0.478,1.93,6,1.0,Nontraumatic stupor and coma wo sig CCC
01,0161,01611,0.9338,1.0261,3.64,11,1.0,Nontraumatic stupor and coma w min CCC
01,0161,01612,2.4526,2.9198,7.2,22,1.0,Nontraumatic stupor and coma w mod CCC
01,0162,01620,0.3235,0.3235,2.62,8,0.89,Febrile convulsions wo sig CCC
01,0162,01621,0.5444,0.5982,4.0,12,1.0,Febrile convulsions w min CCC
01,0163,01630,0.5166,0.5166,2.09,6,1.0,Seizure disorders wo sig CCC
01,0163,01631,1.1526,1.2666,4.03,12,0.96,Seizure disorders w min CCC
01,0163,01632,2.4137,2.8734,8.91,27,1.0,Seizure disorders w mod CCC
01,0163,01633,2.9842,3.9265,9.05,27,1.0,Seizure disorders w maj CCC
01,0163,01634,5.0264,7.3918,14.19,43,1.0,Seizure disorders w ext CCC
01,0164,01640,0.3081,0.3081,1.9,6,1.0,Headache wo sig CCC
01,0164,01641,0.5351,0.5351,2.62,8,1.0,Headache w min CCC
01,0164,01642,0.7781,0.8551,3.41,10,0.64,Headache w mod CCC
01,0164,01643,1.2709,1.3966,5.7,17,1.0,Headache w maj CCC
01,0165,01650,1.0651,1.1704,3.75,11,1.0,Intracranial injury wo sig CCC
01,0165,01651,1.9033,2.0915,5.67,17,1.0,Intracranial injury w min CCC
01,0165,01652,2.9755,3.5423,8.61,26,1.0,Intracranial injury w mod CCC
01,0165,01653,4.0913,6.8189,15.25,46,1.0,Intracranial injury w maj CCC
01,0166,01660,0.8089,0.8089,2.97,9,1.0,Skull fractures wo sig CCC
01,0166,01661,1.7894,1.9664,5.95,18,1.0,Skull fractures w min CCC
01,0166,01662,3.1932,4.2015,9.06,27,1.0,Skull fractures w mod CCC
01,0167,01670,0.3468,0.3468,1.59,5,1.0,Other head injury wo sig CCC
01,0167,01671,0.7509,0.7509,2.8,8,1.0,Other head injury w min CCC
01,0167,01672,1.4956,1.6435,5.0,15,1.0,Other head injury w mod CCC
01,0167,01673,2.7209,3.5801,9.21,28,1.0,Other head injury w maj CCC
01,0168,01680,0.4587,0.4587,2.19,7,1.0,Other disorders of nervous system wo sig CCC
01,0168,01681,1.3011,1.4298,5.83,17,1.0,Other disorders of nervous system w min CCC
01,0168,01682,2.4361,3.2054,9.04,27,1.0,Other disorders of nervous system w mod CCC
01,0168,01683,4.1603,6.118,13.81,41,1.0,Other disorders of nervous system w maj CCC
01,0169,01690,5.5085,6.5578,6.17,19,1.0,Guillain-Barre syndrome wo sig CCC
01,0169,01691,7.8557,10.3365,11.98,36,1.0,Guillain-Barre syndrome w min CCC
01,0170,01709,5.5279,12.5634,29.77,89,1.0,Nervous system neoplasms with chemo- and radiotherapy
01,0171,01710,1.9152,1.9152,2.88,9,0.92,Nervous system neoplasms with chemotherapy wo sig CCC
01,0171,01711,2.6879,2.9216,5.92,18,1.0,Nervous system neoplasms with chemotherapy w min CCC
01,0172,01720,1.9484,2.8652,12.13,36,1.0,Nervous system neoplasms with radiotherapy wo sig CCC
01,0172,01721,3.0762,5.9158,19.83,59,1.0,Nervous system neoplasms with radiotherapy w min CCC
01,0172,01722,3.9582,8.996,26.98,81,1.0,Nervous system neoplasms with radiotherapy w mod CCC
01,0173,01730,1.6203,1.7806,4.75,14,0.98,Nervous system neoplasms with diag proc wo sig CCC
01,0173,01731,2.5951,3.0893,8.43,25,1.0,Nervous system neoplasms with diag proc w min CCC
01,0173,01732,3.7736,6.2893,15.37,46,1.0,Nervous system neoplasms with diag proc w mod CCC
01,0174,01749,0.8985,1.0696,8.4,25,1.0,NS neoplasms with blood transfusion
01,0176,01760,0.7804,0.8576,3.3,10,0.43,"Nerv syst infection exc viral meningitis, transferred wo sig CCC"
01,0176,01761,1.6749,1.9939,6.71,20,1.0,"Nerv syst infection exc viral meningitis, transferred w min CCC"
01,0176,01762,4.3153,5.678,11.87,36,0.61,"Nerv syst infection exc viral meningitis, transferred w mod CCC"
01,0177,01770,1.7548,2.0891,7.36,22,0.88,Spinal injuries wo sig CCC
01,0177,01771,2.9385,4.3214,14.31,43,1.0,Spinal injuries w min CCC
01,0177,01772,3.4881,7.9277,21.96,66,1.0,Spinal injuries w mod CCC
02,0201,02010,1.9209,2.1109,3.09,9,0.71,Retinal procedures wo sig CCC
02,0201,02011,2.9213,3.4778,7.44,22,0.55,Retinal procedures w min CCC
02,0201,02012,3.1761,4.1792,10.0,30,0.82,Retinal procedures w mod CCC
02,0201,02013,4.3689,7.2816,17.87,54,1.0,Retinal procedures w maj CCC
02,0202,02020,1.7588,1.9328,5.65,17,1.0,Enucleation and orbital procedures wo sig CCC
02,0202,02021,2.5734,3.7844,13.08,39,1.0,Enucleation and orbital procedures w min CCC
02,0203,02039,1.7762,1.9519,5.5,17,1.0,Proc for major eye injury
02,0205,02050,1.0276,1.0276,2.83,8,1.0,Intraocular proc except lens & retina wo sig CCC
02,0205,02051,1.6029,1.7614,5.47,16,0.99,Intraocular proc except lens & retina w min CCC
02,0205,02052,2.4733,3.2543,11.11,33,1.0,Intraocular proc except lens & retina w mod CCC
02,0206,02060,1.2952,1.2952,1.95,6,1.0,Major lens procedures wo sig CCC
02,0206,02061,1.645,1.645,2.55,8,1.0,Major lens procedures w min CCC
02,0207,02070,1.2175,1.2175,2.11,6,1.0,Other lens procedures wo sig CCC
02,0207,02071,1.5868,1.5868,2.37,7,0.64,Other lens procedures w min CCC
02,0207,02072,1.8665,2.0511,3.54,11,0.48,Other lens procedures w mod CCC
02,0207,02073,2.2099,2.4285,5.37,16,1.0,Other lens procedures w maj CCC
02,0208,02080,0.6501,0.6501,1.76,5,0.58,Other eye  procedures wo sig CCC
02,0208,02081,0.9116,1.0851,6.35,19,0.55,Other eye  procedures w min CCC
02,0208,02082,1.185,1.5592,9.85,30,0.24,Other eye  procedures w mod CCC
02,0208,02083,1.7081,2.2475,11.99,36,0.46,Other eye  procedures w maj CCC
02,0209,02090,2.5761,3.0668,7.42,22,0.52,Keratoplasty wo sig CCC
02,0209,02091,2.7779,6.3134,21.94,66,1.0,Keratoplasty w min CCC
02,0210,02109,2.6802,3.1908,6.84,21,1.0,Enucleation and orbital proc for eye malignancy
02,0211,02110,1.7105,1.7105,2.94,9,1.0,Multiple major lens procedures wo sig CCC
02,0211,02111,2.0311,2.232,4.31,13,1.0,Multiple major lens procedures w min CCC
02,0212,02129,1.6588,1.8229,3.42,10,1.0,Multiple other lens procedures
02,0213,02130,1.3146,1.3146,2.18,7,1.0,Major proc for lacrimal system wo sig CCC
02,0213,02131,1.6018,1.6018,2.38,7,1.0,Major proc for lacrimal system w min CCC
02,0250,02500,0.3597,0.3597,2.77,8,0.8,Hyphema and medically managed trauma wo sig CCC
02,0250,02501,0.5509,0.6054,3.98,12,1.0,Hyphema and medically managed trauma w min CCC
02,0250,02502,1.2422,1.4788,7.71,23,0.67,Hyphema and medically managed trauma w mod CCC
02,0251,02510,0.7301,0.8691,6.47,19,0.39,Acute and major eye infections age > 54 wo sig CCC
02,0251,02511,0.9445,1.2428,9.01,27,1.0,Acute and major eye infections age > 54 w min CCC
02,0251,02512,2.245,3.3015,12.06,36,1.0,Acute and major eye infections age > 54 w mod CCC
02,0252,02520,0.4969,0.546,3.54,11,0.37,Acute and major eye infections age < 55 wo sig CCC
02,0252,02521,0.673,0.8011,6.77,20,0.83,Acute and major eye infections age < 55 w min CCC
02,0252,02522,1.1816,1.4067,8.68,26,1.0,Acute and major eye infections age < 55 w mod CCC
02,0253,02530,1.1281,1.2397,3.2,10,1.0,Neurological and vasc disor of the eye wo sig CCC
02,0253,02531,1.9996,2.1974,4.46,13,1.0,Neurological and vasc disor of the eye w min CCC
02,0254,02540,0.3798,0.3798,2.38,7,1.0,Other disorders of the eye wo sig CCC
02,0254,02541,0.7528,0.8273,3.97,12,1.0,Other disorders of the eye w min CCC
02,0254,02542,1.7398,2.0712,7.28,22,1.0,Other disorders of the eye w mod CCC
02,0255,02550,1.611,1.7703,3.33,10,0.85,Malignant neoplasm of the eye wo sig CCC
02,0255,02551,2.357,2.8059,6.8,20,1.0,Malignant neoplasm of the eye w min CCC
03,0301,03010,3.3244,3.9576,8.1,24,1.0,Major head and neck proc wo sig CCC
03,0301,03011,4.4304,7.384,15.1,45,1.0,Major head and neck proc w min CCC
03,0310,03100,1.2689,1.3944,3.18,10,1.0,"Ear and other nose, mouth & throat procedures wo sig CCC"
03,0310,03101,2.5759,3.3893,9.14,27,0.51,"Ear and other nose, mouth & throat procedures w min CCC"
03,0310,03102,2.7564,6.2644,21.73,65,0.83,"Ear and other nose, mouth & throat procedures w mod CCC"
03,0312,03120,0.7376,0.8106,3.34,10,1.0,Dental extractions and restorations wo sig CCC
03,0312,03121,1.5273,1.6783,4.31,13,1.0,Dental extractions and restorations w min CCC
03,0314,03140,1.7071,1.8759,4.28,13,1.0,Minor head and neck procedures wo sig CCC
03,0314,03141,2.5972,3.0919,7.24,22,1.0,Minor head and neck procedures w min CCC
03,0314,03142,3.5629,4.6881,10.61,32,1.0,Minor head and neck procedures w mod CCC
03,0314,03143,4.609,7.6817,16.43,49,1.0,Minor head and neck procedures w maj CCC
03,0321,03219,5.3485,8.9142,15.94,48,1.0,Major head and neck proc w reconstruction
03,0350,03500,0.7124,0.7829,4.18,13,0.65,"Ear, nose, mouth and throat malignancy wo sig CCC"
03,0350,03501,1.2365,1.472,7.02,21,1.0,"Ear, nose, mouth and throat malignancy w min CCC"
03,0350,03502,2.2522,2.9634,11.0,33,1.0,"Ear, nose, mouth and throat malignancy w mod CCC"
03,0351,03510,0.2413,0.2413,1.77,5,0.73,Ear diseses and balance wo sig CCC
03,0351,03511,0.4109,0.4109,2.5,8,1.0,Ear diseses and balance w min CCC
03,0351,03512,0.6002,0.6596,3.72,11,1.0,Ear diseses and balance w mod CCC
03,0351,03513,0.9198,1.0108,5.04,15,1.0,Ear diseses and balance w maj CCC
03,0351,03514,1.4702,1.7502,6.73,20,1.0,Ear diseses and balance w ext CCC
03,0352,03520,0.3228,0.3228,2.48,7,1.0,"Nose, mouth, throat and larynx diseases wo sig CCC"
03,0352,03521,0.5375,0.5907,3.22,10,1.0,"Nose, mouth, throat and larynx diseases w min CCC"
03,0352,03522,1.1168,1.2273,4.7,14,1.0,"Nose, mouth, throat and larynx diseases w mod CCC"
03,0352,03523,2.5479,3.0332,8.01,24,1.0,"Nose, mouth, throat and larynx diseases w maj CCC"
03,0352,03524,4.7903,6.303,11.83,35,1.0,"Nose, mouth, throat and larynx diseases w ext CCC"
03,0357,03570,0.5324,0.5324,3.0,9,1.0,"Dental, oral and jaw disorders wo sig CCC"
03,0357,03571,0.9519,1.046,3.66,11,1.0,"Dental, oral and jaw disorders w min CCC"
03,0357,03572,1.7888,2.1295,6.36,19,1.0,"Dental, oral and jaw disorders w mod CCC"
03,0359,03590,0.9428,1.0248,4.6,14,1.0,ENT & mouth malignancy with chemotherapy wo sig CCC
03,0359,03591,1.1373,1.2362,4.98,15,1.0,ENT & mouth malignancy with chemotherapy w min CCC
03,0359,03592,1.6855,2.0066,7.01,21,1.0,ENT & mouth malignancy with chemotherapy w mod CCC
03,0360,03600,2.2144,2.9138,10.67,32,0.77,ENT & mouth malignancy with radiotherapy wo sig CCC
03,0360,03601,2.9013,6.5937,25.24,76,1.0,ENT & mouth malignancy with radiotherapy w min CCC
03,0360,03602,4.3385,9.8602,32.57,98,1.0,ENT & mouth malignancy with radiotherapy w mod CCC
03,0361,03610,1.2084,1.3279,3.43,10,0.94,ENT & mouth malignancy with diagnostic proc wo sig CCC
03,0361,03611,2.4073,3.1675,10.79,32,1.0,ENT & mouth malignancy with diagnostic proc w min CCC
03,0361,03612,3.9797,6.6329,17.93,54,1.0,ENT & mouth malignancy with diagnostic proc w mod CCC
03,0362,03620,0.7163,0.7871,3.47,10,0.66,ENT & mouth malignancy with blood transfusion wo sig CCC
03,0362,03621,1.4188,1.6891,7.31,22,1.0,ENT & mouth malignancy with blood transfusion w min CCC
03,0362,03622,3.0261,5.0436,15.1,45,1.0,ENT & mouth malignancy with blood transfusion w mod CCC
04,0401,04010,4.4875,5.9046,10.5,32,0.53,Major chest procedures wo sig CCC
04,0401,04011,4.4875,7.0748,15.39,46,0.67,Major chest procedures w min CCC
04,0401,04012,4.4875,9.3869,22.68,68,1.0,Major chest procedures w mod CCC
04,0402,04020,2.0198,2.4045,6.47,19,0.71,Other resp system procedures wo sig CCC
04,0402,04021,3.2006,4.2113,11.82,35,0.71,Other resp system procedures w min CCC
04,0402,04022,3.4885,7.9285,22.5,68,1.0,Other resp system procedures w mod CCC
04,0403,04030,2.2919,2.5186,5.76,17,1.0,Ventilator support wo sig CCC
04,0403,04031,3.3351,3.9704,8.46,25,0.92,Ventilator support w min CCC
04,0403,04032,4.7049,6.919,13.81,41,0.64,Ventilator support w mod CCC
04,0403,04033,4.7049,9.3453,21.79,65,1.0,Ventilator support w maj CCC
04,0403,04034,5.4173,12.3122,27.75,83,1.0,Ventilator support w ext CCC
04,0407,04070,1.6154,1.7752,5.81,17,1.0,Noninvasive ventilation wo sig CCC
04,0407,04071,3.0326,3.9902,10.95,33,0.61,Noninvasive ventilation w min CCC
04,0407,04072,3.3838,6.5073,19.83,59,1.0,Noninvasive ventilation w mod CCC
04,0408,04080,1.2701,1.2701,2.8,8,0.65,Other minor resp system procedures wo sig CCC
04,0408,04081,1.8353,2.0168,4.89,15,1.0,Other minor resp system procedures w min CCC
04,0409,04099,5.7079,7.5104,11.68,35,1.0,Major thoracoscopic procedures
04,0410,04109,3.8407,5.648,13.07,39,1.0,Diagnostic thoracoscopic procedures
04,0451,04510,2.2758,2.7092,7.4,22,1.0,Pulmonary embolism wo sig CCC
04,0451,04511,3.0068,3.9563,10.2,31,1.0,Pulmonary embolism w min CCC
04,0451,04512,3.8085,7.3241,18.31,55,1.0,Pulmonary embolism w mod CCC
04,0452,04520,0.5152,0.5661,3.71,11,1.0,Respiratory infection/inflammation wo sig CCC
04,0452,04521,0.8988,0.9877,5.2,16,0.83,Respiratory infection/inflammation w min CCC
04,0452,04522,1.5938,1.8974,8.31,25,1.0,Respiratory infection/inflammation w mod CCC
04,0452,04523,2.3737,3.1233,11.8,35,1.0,Respiratory infection/inflammation w maj CCC
04,0452,04524,3.0719,5.1197,16.61,50,1.0,Respiratory infection/inflammation w ext CCC
04,0453,04530,0.6456,0.6456,1.33,4,1.0,Sleep apnea wo sig CCC
04,0453,04531,1.3966,1.5347,5.48,16,1.0,Sleep apnea w min CCC
04,0454,04540,0.8892,0.9771,4.18,13,0.82,"Pulmonary edema and resp failure, not transferred wo sig CCC"
04,0454,04541,2.0543,2.7031,10.88,33,1.0,"Pulmonary edema and resp failure, not transferred w min CCC"
04,0455,04550,0.5465,0.6005,3.15,9,0.91,Chronic obstructive pulmonary disease wo sig CCC
04,0455,04551,0.864,0.9495,4.67,14,0.76,Chronic obstructive pulmonary disease w min CCC
04,0455,04552,1.2633,1.5039,6.56,20,0.93,Chronic obstructive pulmonary disease w mod CCC
04,0455,04553,1.9172,2.5226,9.54,29,0.88,Chronic obstructive pulmonary disease w maj CCC
04,0455,04554,2.7333,4.0196,14.33,43,1.0,Chronic obstructive pulmonary disease w ext CCC
04,0456,04560,0.5453,0.5453,2.99,9,1.0,Major chest trauma wo sig CCC
04,0456,04561,1.4685,1.7482,7.9,24,1.0,Major chest trauma w min CCC
04,0457,04570,0.5173,0.5173,2.41,7,1.0,Respiratory signs and symptoms wo sig CCC
04,0457,04571,0.8216,0.9029,3.76,11,0.91,Respiratory signs and symptoms w min CCC
04,0457,04572,1.5025,1.7888,6.27,19,1.0,Respiratory signs and symptoms w mod CCC
04,0458,04580,1.0281,1.224,6.64,20,0.85,Pneumothorax wo sig CCC
04,0458,04581,1.4623,1.7408,8.48,25,0.9,Pneumothorax w min CCC
04,0458,04582,2.1485,2.827,11.5,35,1.0,Pneumothorax w mod CCC
04,0459,04590,0.4004,0.4004,2.75,8,1.0,Bronchitis and asthma and whooping cough wo sig CCC
04,0459,04591,0.5476,0.6018,3.41,10,1.0,Bronchitis and asthma and whooping cough w min CCC
04,0459,04592,0.986,1.0835,5.12,15,0.85,Bronchitis and asthma and whooping cough w mod CCC
04,0459,04593,1.5164,1.8052,7.21,22,1.0,Bronchitis and asthma and whooping cough w maj CCC
04,0459,04594,2.9956,4.4052,13.65,41,1.0,Bronchitis and asthma and whooping cough w ext CCC
04,0461,04610,0.7038,0.7734,3.98,12,0.66,Respiratory neoplasms wo sig CCC
04,0461,04611,1.044,1.1472,5.59,17,0.94,Respiratory neoplasms w min CCC
04,0461,04612,1.8237,2.1711,8.75,26,0.78,Respiratory neoplasms w mod CCC
04,0461,04613,2.3752,3.4929,13.36,40,0.98,Respiratory neoplasms w maj CCC
04,0462,04620,0.8856,0.9732,4.28,13,0.81,"Pleural effusion, not transferred wo sig CCC"
04,0462,04621,1.4697,1.7496,7.34,22,1.0,"Pleural effusion, not transferred w min CCC"
04,0462,04622,2.7275,4.0111,13.24,40,0.92,"Pleural effusion, not transferred w mod CCC"
04,0463,04630,0.7421,0.8155,3.99,12,1.0,Interstitial lung disease wo sig CCC
04,0463,04631,1.7498,2.0831,7.23,22,1.0,Interstitial lung disease w min CCC
04,0464,04640,0.5056,0.5056,2.46,7,1.0,Other respiratory system diagnoses wo sig CCC
04,0464,04641,1.0055,1.1049,4.6,14,0.78,Other respiratory system diagnoses w min CCC
04,0464,04642,1.8056,2.1496,8.32,25,1.0,Other respiratory system diagnoses w mod CCC
04,0465,04659,3.0616,4.5024,12.84,39,1.0,Respiratory neoplasms with chemo- and radiother
04,0466,04660,2.2571,2.2571,2.55,8,0.4,Respiratory neoplasms with chemotherapy wo sig CCC
04,0466,04661,2.32,2.5494,4.8,14,1.0,Respiratory neoplasms with chemotherapy w min CCC
04,0466,04662,3.2337,3.8496,6.88,21,0.65,Respiratory neoplasms with chemotherapy w mod CCC
04,0466,04663,3.5286,5.881,16.54,50,1.0,Respiratory neoplasms with chemotherapy w maj CCC
04,0467,04670,2.2588,2.9721,11.84,36,1.0,Respiratory neoplasms with radiotherapy wo sig CCC
04,0467,04671,2.9128,4.8545,16.7,50,1.0,Respiratory neoplasms with radiotherapy w min CCC
04,0467,04672,3.6749,7.0671,20.79,62,1.0,Respiratory neoplasms with radiotherapy w mod CCC
04,0468,04680,1.6708,1.836,5.82,17,0.93,Respiratory neoplasms with diag proc wo sig CCC
04,0468,04681,2.7463,4.0386,12.69,38,1.0,Respiratory neoplasms with diag proc w min CCC
04,0468,04682,3.5172,6.7639,19.57,59,1.0,Respiratory neoplasms with diag proc w mod CCC
04,0469,04690,0.9256,1.0171,4.2,13,0.77,Respiratory neoplasms with blood transfusion wo sig CCC
04,0469,04691,1.9276,2.2947,8.97,27,0.83,Respiratory neoplasms with blood transfusion w min CCC
04,0469,04692,2.5253,4.2088,15.26,46,1.0,Respiratory neoplasms with blood transfusion w mod CCC
04,0470,04700,2.1213,2.7913,11.72,35,1.0,Pyothorax wo sig CCC
04,0470,04701,3.0677,5.8993,19.07,57,1.0,Pyothorax w min CCC
04,0471,04710,0.5137,0.5137,1.84,6,0.91,"Pulmonary edema and respiratory failure, transferred wo sig CCC"
04,0471,04711,0.9999,1.0988,3.73,11,0.75,"Pulmonary edema and respiratory failure, transferred w min CCC"
04,0472,04720,0.8738,0.9602,4.22,13,0.82,"Pleural effusion, transferred wo sig CCC"
04,0472,04721,2.4359,3.2051,10.93,33,0.95,"Pleural effusion, transferred w min CCC"
05,0501,05019,8.071,18.3432,24.17,73,1.0,Valve replacement and open valvuloplasty w cath
05,0502,05020,8.9956,13.2288,12.87,39,0.95,Valve replacement and open valvuloplasty wo sig CCC
05,0502,05021,8.9956,15.9402,19.07,57,1.0,Valve replacement and open valvuloplasty w min CCC
05,0502,05022,8.9956,19.3869,24.4,73,1.0,Valve replacement and open valvuloplasty w mod CCC
05,0503,05039,12.8973,29.312,21.98,66,1.0,Coronary bypass with PTCA
05,0504,05049,10.185,23.1477,24.44,73,1.0,Coronary bypass with cath
